cid,description,iso_3,dataset_name,locations
168,Afghanistan,AFG,hotosm_afg,{afg}
170,Albania,ALB,hotosm_alb,{alb}
100,Algeria,DZA,hotosm_dza,{dza}
142,American Oceania,,,"{""""}"
108,Andorra,AND,hotosm_and,{and}
171,Angola,AGO,hotosm_ago,{ago}
37,Anguilla,AIA,hotosm_aia,{aia}
66,Antarctica,ATA,hotosm_ata,{ata}
57,Antigua and Barbuda,ATG,hotosm_atg,{atg}
172,Argentina,ARG,hotosm_arg,{arg}
174,Armenia,ARM,hotosm_arm,{arm}
68,Aruba,ABW,hotosm_abw,{abw}
56,Australia,AUS,hotosm_aus,{aus}
176,Austria,AUT,hotosm_aut,{aut}
166,Azerbaijan,AZE,hotosm_aze,{aze}
4,Bahamas,BHS,hotosm_bhs,{bhs}
2,Bahrain,BHR,hotosm_bhr,{bhr}
54,Bangladesh,BGD,hotosm_bgd,{bgd}
69,Barbados,BRB,hotosm_brb,{brb}
180,Belarus,BLR,hotosm_blr,{blr}
182,Belgium,BEL,hotosm_bel,{bel}
43,Belize,BLZ,hotosm_blz,{blz}
87,Benin,BEN,hotosm_ben,{ben}
29,Bermuda,BMU,hotosm_bmu,{bmu}
167,Bhutan,BTN,hotosm_btn,{btn}
3,Bolivia,BOL,hotosm_bol,{bol}
58,"Bonaire, Sint Eustatius and Saba",BES,hotosm_bes,{bes}
187,Bosnia and Herzegovina,BIH,hotosm_bih,{bih}
189,Botswana,BWA,hotosm_bwa,{bwa}
38,Bouvet Island,BVT,hotosm_bvt,{bvt}
77,Brazil,BRA,hotosm_bra,{bra}
30,British Indian Ocean Territory,IOT,hotosm_iot,{iot}
42,British Virgin Islands,VGB,hotosm_vgb,{vgb}
227,Brunei Darussalam,BRN,hotosm_brn,{brn}
191,Bulgaria,BGR,hotosm_bgr,{bgr}
195,Burkina Faso,BFA,hotosm_bfa,{bfa}
197,Burundi,BDI,hotosm_bdi,{bdi}
27,Cabo Verde,CPV,hotosm_cpv,{cpv}
198,Cambodia,KHM,hotosm_khm,{khm}
91,Cameroon,CMR,hotosm_cmr,{cmr}
59,Canada,CAN,hotosm_can,{can}
34,Cayman Islands,CYM,hotosm_cym,{cym}
106,Central African Republic,CAF,hotosm_caf,{caf}
53,Chad,TCD,hotosm_tcd,{tcd}
217,Chile,CHL,hotosm_chl,{chl}
63,China,CHN,hotosm_chn,{chn}
76,"China, Hong Kong Special Administrative Region",HKG,hotosm_hkg,{hkg}
61,"China, Macao Special Administrative Region",MAC,hotosm_mac,{mac}
194,Colombia,COL,hotosm_col,{col}
28,Comoros,COM,hotosm_com,{com}
131,Congo,COG,hotosm_cog,{cog}
109,Cook Islands,COK,hotosm_cok,{cok}
196,Costa Rica,CRI,hotosm_cri,{cri}
221,Côte d'Ivoire,CIV,hotosm_civ,{civ}
67,Croatia,HRV,hotosm_hrv,{hrv}
149,Cuba,CUB,hotosm_cub,{cub}
44,Curaçao,CUW,hotosm_cuw,{cuw}
128,Cyprus,CYP,hotosm_cyp,{cyp}
199,Czech Republic,CZE,hotosm_cze,{cze}
89,Democratic Republic of the Congo,COD,hotosm_cod,{cod}
16,Denmark,DNK,hotosm_dnk,{dnk}
48,Djibouti,DJI,hotosm_dji,{dji}
33,Dominica,DMA,hotosm_dma,{dma}
