status,name,continent,region,fid,region_id
Member State,Mongolia,Asia,Eastern Asia,"2","7"
Member State,Maldives,Asia,Southern Asia,"53","19"
Member State,Madagascar,Africa,Eastern Africa,"235","6"
Member State,United States of America,Americas,Northern America,"74","13"
US Territory,Midway Is.,Americas,Northern America,"30","13"
Member State,Saudi Arabia,Asia,Western Asia,"32","22"
Member State,Croatia,Europe,Southern Europe,"67","20"
Member State,Swaziland,Africa,Southern Africa,"47","18"
FR Territory,French Guiana,Americas,South America,"8","16"
Member State,Lao People's Democratic Republic,Asia,South-Eastern Asia,"26","17"
Member State,Nauru,Oceania,Micronesia,"59","10"
Member State,Sweden,Europe,Northern Europe,"139","14"
AU Territory,Christmas Island,Asia,South-Eastern Asia,"228","17"
Member State,Cambodia,Asia,South-Eastern Asia,"15","17"
Member State,Ethiopia,Africa,Eastern Africa,"154","6"
Member State,Guinea-Bissau,Africa,Western Africa,"10","21"
Member State,Uzbekistan,Asia,Central Asia,"219","5"
Member State,Belarus,Europe,Eastern Europe,"112","8"
Sovereignty unsettled,Paracel Islands,Asia,South-Eastern Asia,"150","17"
Member State,El Salvador,Americas,Central America,"193","4"
Member State,Hungary,Europe,Eastern Europe,"12","8"
Member State,Iceland,Europe,Northern Europe,"56","14"
Member State,Georgia,Asia,Western Asia,"16","22"
FR Territory,French Polynesia,Oceania,Polynesia,"36","15"
Sovereignty unsettled,Arunachal Pradesh,Asia,Eastern Asia,"90","7"
Member State,Nigeria,Africa,Western Africa,"195","21"
Member State,Haiti,Americas,Caribbean,"39","3"
Member State,Marshall Islands,Oceania,Micronesia,"215","10"
NZ Non-Self-Governing Territory,Tokelau,Oceania,Polynesia,"73","15"
Member State,Lithuania,Europe,Northern Europe,"43","14"
CN Province,Taiwan,Asia,Eastern Asia,"33","7"
FR Non-Self-Governing Territory,New Caledonia,Oceania,Melanesia,"48","9"
Member State,Brunei Darussalam,Asia,South-Eastern Asia,"206","17"
US Non-Self-Governing Territory,American Samoa,Oceania,Polynesia,"62","15"
Member State,Dominica,Americas,Caribbean,"86","3"
FR Territory,Martinique,Americas,Caribbean,"137","3"
NL Territory,Aruba,Americas,Caribbean,"124","3"
Member State,Jamaica,Americas,Caribbean,"127","3"
UK Non-Self-Governing Territory,Falkland Islands (Malvinas),Americas,South America,"49","16"
,Abyei,Africa,Northern Africa,"157","12"
Member State,Andorra,Europe,Southern Europe,"103","20"
Member State,Republic of Korea,Asia,Eastern Asia,"143","7"
Member State,Tunisia,Africa,Northern Africa,"27","12"
Member State,Burkina Faso,Africa,Western Africa,"203","21"
Member State,Liechtenstein,Europe,Western Europe,"168","23"
Member State,Sierra Leone,Africa,Western Africa,"84","21"
Member State,Gabon,Africa,Middle Africa,"29","11"
Member State,Côte d'Ivoire,Africa,Western Africa,"80","21"
Member State,Egypt,Africa,Northern Africa,"78","12"
Adm. by EGY,Ma'tan al-Sarra,Africa,Northern Africa,"117","12"
UK Non-Self-Governing Territory,Anguilla,Americas,Caribbean,"254","3"
Member State,Austria,Europe,Western Europe,"120","23"
NO Territory,Bouvet Island,Antarctica,Antarctica,"105","1"
Member State,Equatorial Guinea,Africa,Middle Africa,"126","11"
Member State,Estonia,Europe,Northern Europe,"128","14"
Permanent Observer to the UN,Holy See,Europe,Southern Europe,"125","20"
Member State,Switzerland,Europe,Western Europe,"118","23"
Non-Self-Governing Territory,Western Sahara,Africa,Northern Africa,"72","12"
Member State,Belize,Americas,Central America,"130","4"
Member State,Dominican Republic,Americas,Caribbean,"77","3"
Member State,Thailand,Asia,South-Eastern Asia,"60","17"
Member State,Bulgaria,Europe,Eastern Europe,"92","8"
Occupied Territory (under review),Gaza Strip,Asia,Western Asia,"227","22"
Member State,Benin,Africa,Western Africa,"108","21"
Member State,Portugal,Europe,Southern Europe,"121","20"
NO Territory,Svalbard and Jan Mayen Islands,Europe,Northern Europe,"65","14"
Member State,Namibia,Africa,Southern Africa,"57","18"
Member State,Comoros,Africa,Eastern Africa,"156","6"
Member State,Ghana,Africa,Western Africa,"140","21"
FR Territory,Guadeloupe,Americas,Caribbean,"34","3"
Member State,Guyana,Americas,South America,"28","16"
Member State,Liberia,Africa,Western Africa,"145","21"
Member State,Nicaragua,Americas,Central America,"147","4"
Member State,Suriname,Americas,South America,"160","16"
Member State,Bahrain,Asia,Western Asia,"94","22"
Member State,Kenya,Africa,Eastern Africa,"164","6"
Member State,Fiji,Oceania,Melanesia,"170","9"
Member State,Finland,Europe,Northern Europe,"41","14"
FR Territory,French Southern and Antarctic Territories,Antarctica,Antarctica,"191","1"
UK Territory,British Indian Ocean Territory,Africa,Eastern Africa,"185","6"
Member State,Slovakia,Europe,Eastern Europe,"175","8"
Member State,Samoa,Oceania,Polynesia,"253","15"
CN Special Administrative Region,Macao,Asia,Eastern Asia,"5","7"
Member State,Burundi,Africa,Eastern Africa,"233","6"
Member State,Gambia,Africa,Western Africa,"199","21"
US Non-Self-Governing Territory,United States Virgin Islands,Americas,Caribbean,"229","3"
Member State,Afghanistan,Asia,Southern Asia,"21","19"
UK Non-Self-Governing Territory,Pitcairn Island,Oceania,Polynesia,"188","15"
FR Territory,Mayotte,Africa,Eastern Africa,"68","6"
Member State,Latvia,Europe,Northern Europe,"214","14"
Member State,Democratic People's Republic of Korea,Asia,Eastern Asia,"52","7"
US Territory,Puerto Rico,Americas,Caribbean,"98","3"
Member State,Syrian Arab Republic,Asia,Western Asia,"216","22"
Member State,Guatemala,Americas,Central America,"158","4"
NL Territory,Netherlands Antilles,Americas,Caribbean,"245","3"
Member State,Sri Lanka,Asia,Southern Asia,"217","19"
